Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
2BHK Multistorey Apartment for Rent in Lodha Park at Worli,1.5 Lac,1000 12800,2,2,Semi-Furnished,,,,East,Garden/Park,Rent,Apartment,Mumbai,2017,F,"2 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 1.50 Lac(s)",65896039_2_1677824600314-181.jpg
2BHK Multistorey Apartment for Rent in Raheja Acropolis II at Deonar Govandi East,"85,000",850 12800,2,2,Furnished,,2,,North - East,Garden/Park,Rent,Apartment,Mumbai,1994,F,"2 BHK, Multistorey Apartment is available for Rent in Deonar Govandi East, Mumbai for 85,000",67218227_4_ivingroom.jpeg
1BHK Multistorey Apartment for Rent in Siddhivinayak Darshan at Mahalakshmi,"38,000",510 12800,1,1,Semi-Furnished,,11,,East,"Main Road, Garden/Park",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mahalakshmi, Mumbai for 38,000",61896357_3_hatsAppImage20221226at5.49.00PM1.jpeg
4BHK Multistorey Apartment for Rent in Rustomjee Seasons at Bandra East,3.5 Lac,1700 12800,4,6,Semi-Furnished,1,20,,East,"Pool, Garden/Park",Rent,Apartment,Mumbai,2015,F,"4 BHK, Multistorey Apartment is available for Rent in Bandra East, Mumbai for 3.50 Lac(s)",62609925_16_PropertyImage973-254560523774.jpg
3BHK Multistorey Apartment for Rent in Runwal Bliss at Kanjurmarg East,"75,000",1499 12800,3,3,Semi-Furnished,1,15,,East,Garden/Park,Rent,Apartment,Mumbai,2010,F,"3 BHK, Multistorey Apartment is available for Rent in Kanjurmarg East, Mumbai for 75,000",68555485_2_MG20230402WA0018.jpg
7BHK Multistorey Apartment for Rent in Lodha World View at Worli,13 Lac,3800 12800,7,5,Semi-Furnished,4,46,,East,Garden/Park,Rent,Apartment,Mumbai,1996,F,"7 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 13.0 Lac(s)",68361103_10_c3d07ae8b6b466a9bbd6b4b7d826d3b.jpg
3BHK Multistorey Apartment for Rent in Runwal Elegante at Andheri West,1.4 Lac,1694 12800,3,3,Unfurnished,,3,,East,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,2015,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.35 Lac(s)",68578791_1_howFlat05.jpg
2BHK Multistorey Apartment for Rent in Girnar Heights at Wadala East,"80,000",965 12800,2,2,Furnished,,16,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2015,F,"2 BHK, Multistorey Apartment is available for Rent in Wadala East, Mumbai for 80,000",68518895_7_hatsAppImage20220312at4.26.43PM.jpeg
3BHK Multistorey Apartment for Rent in Runwal Forests at Kanjurmarg West,"75,000",1450 12800,3,3,Semi-Furnished,1,17,,East,Garden/Park,Rent,Apartment,Mumbai,1990,F,"3 BHK, Multistorey Apartment is available for Rent in Kanjurmarg West, Mumbai for 75,000",64448291_8_hatsAppImage2022-09-27at3.58.03PM.jpeg
4BHK Multistorey Apartment for Rent in Sunteck Signature Island  at Bandra Kurla Complex,6.8 Lac,None ,4,5,Semi-Furnished,3,10,Leasehold,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,2001,F,"4 BHK, Multistorey Apartment is available for Rent in Bandra Kurla Complex, Mumbai for 6.75 Lac(s)",64579487_3_PropertyImage208-21130983321567.jpg
