Title,Price,Area,BHK,Bathrooms,Furnished,Balconies,Floor,Ownership,Facing,Amenities,Transaction Type,Property Type,Location,Year of Construction,Is Luxury,Description,Property Image
2BHK Multistorey Apartment for Rent in Kanjurmarg East,"65,000",682 12800,2,2,Semi-Furnished,,21,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Kanjurmarg East, Mumbai for 65,000",
1BHK Residential House for Rent in Malad West,"12,000",325 12800,1,1,Unfurnished,,Ground,,,,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Malad West, Mumbai for 12,000",
3BHK Multistorey Apartment for Rent in ,"17,000",1000 12800,3,3,Semi-Furnished,,Ground,,,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in , Mumbai for 17,000",
1BHK Builder Floor Apartment for Rent in Malad West,"25,000",470 12800,1,1,Unfurnished,,2,,,,Rent,Builder Floor Apartment,Mumbai,,F,"1 BHK, Builder Floor Apartment is available for Rent in Malad West, Mumbai for 25,000",
1BHK Multistorey Apartment for Rent in Mira Road Area,"8,000",540 12800,1,1,Semi-Furnished,,6,Freehold,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mira Road Area, Mumbai for 8,000",
2BHK Multistorey Apartment for Rent in Bandra West,"80,000",900 12800,2,2,Furnished,,6,,West,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 80,000",
3BHK Multistorey Apartment for Rent in Sai Sanskar at Chembur,"90,000",1000 12800,3,3,Semi-Furnished,,7,,North - West,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 90,000",2021/12/20/Project-Photo-3-Sai-Sanskar-Mumbai-5048582_875_1000.jpg
2BHK Residential House for Rent in Roman Residency at Vasai West,"20,000",1200 12800,2,2,Semi-Furnished,,Ground,,,,Rent,Residential House,Mumbai,,F,"2 BHK, Residential House is available for Rent in Vasai West, Mumbai for 20,000",2021/12/17/Project-Photo-12-Roman-Residency-Mumbai-5110925_2000_1500.jpg
1BHK Multistorey Apartment for Rent in Azad Apartments at Andheri West,"80,000",None ,1,1,Furnished,,2,,South,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 80,000",67818907_2_PropertyImage615-3813688018649.jpg
2BHK Multistorey Apartment for Rent in Ambe Ashish at Sarvodaya Nagar Mulund West,"35,000",None ,2,2,Semi-Furnished,2,2,,,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Sarvodaya Nagar Mulund West, Mumbai for 35,000",66503655_2_IMG-20200706-WA0016.jpg
1BHK Multistorey Apartment for Rent in Bandra Mariam CHS at Bandra West,"57,000",600 12800,1,1,Furnished,,3,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 57,000",68253821_1_Living-Room.jpg
1BHK Multistorey Apartment for Rent in Kanakia Silicon Valley at Powai,"55,000",555 12800,1,2,Semi-Furnished,,17,,,"Garden/Park, Pool",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 55,000",67561297_1_1686937798291-33892.jpg
1BHK Multistorey Apartment for Rent in Jasmina Priya Apartment at Yogi Nagar,"23,000",360 12800,1,1,Unfurnished,2,5,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Yogi Nagar, Mumbai for 23,000",
1BHK Multistorey Apartment for Rent in Kandivali East,"18,000",600 12800,1,1,Furnished,,,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Kandivali East, Mumbai for 18,000",
1BHK Multistorey Apartment for Rent in Reliable Garden at Naigaon East,"7,000",450 12800,1,1,Unfurnished,3,2,,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Naigaon East, Mumbai for 7,000",45001791_3_MG_20160526_211301_879.jpg
1BHK Multistorey Apartment for Rent in Oberoi Exotica at Mulund West,"19,000",450 12800,1,1,Furnished,1,5,,West,"Pool, Garden/Park",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 19,000",Project-Photo-3-Oberoi-Exotica-Mumbai-5062084_480_1366.jpg
2BHK Multistorey Apartment for Rent in Velentine Apartment 1 at Malad East,"60,000",1400 12800,2,2,Semi-Furnished,3,2,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 60,000",
1BHK Builder Floor Apartment for Rent in Jogeshwari West,"18,000",200 12800,1,1,Semi-Furnished,,Ground,,,,Rent,Builder Floor Apartment,Mumbai,,F,"1 BHK, Builder Floor Apartment is available for Rent in Jogeshwari West, Mumbai for 18,000",68073617_2_1574143953339.jpg
2BHK Multistorey Apartment for Rent in New Mahada Colony at Goregaon,"35,000",960 12800,2,2,Unfurnished,,6,,West,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Goregaon, Mumbai for 35,000",
1BHK Multistorey Apartment for Rent in Raheja Vihar at Powai,"38,000",625 12800,1,2,Semi-Furnished,,10,,,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 38,000",27513273_3_MG_2255.jpg
2BHK Multistorey Apartment for Rent in Raheja Exotica at Madh,"60,000",1235 12800,2,2,Semi-Furnished,4,7,,South -West,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Madh, Mumbai for 60,000",Project-Photo-39-Raheja-Exotica-Mumbai-5098879_547_1380.jpg
1BHK Multistorey Apartment for Rent in Vasai West,"12,000",500 12800,1,1,Semi-Furnished,,3,,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Vasai West, Mumbai for 12,000",27544299_1_50C0D8C29E641508C05FBA6EADE0315.jpeg
2BHK Multistorey Apartment for Rent in Koliwada Sion,"32,000",500 12800,2,2,Unfurnished,,2,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Koliwada Sion, Mumbai for 32,000",
2BHK Multistorey Apartment for Rent in ,1.5 Lac,956 12800,2,2,Unfurnished,3,5,,East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 1.50 Lac(s)",
2BHK Residential House for Rent in Juhu,"50,000",850 12800,2,1,Furnished,,4,,North - West,,Rent,Residential House,Mumbai,,F,"2 BHK, Residential House is available for Rent in Juhu, Mumbai for 50,000",
1BHK Multistorey Apartment for Rent in Borivali West,"20,000",450 12800,1,1,Semi-Furnished,,1,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Borivali West, Mumbai for 20,000",
3BHK Residential House for Rent in Sunder Nagar Malad West,1.5 Lac,2000 12800,3,3,Furnished,,,Freehold,,,Rent,Residential House,Mumbai,,F,"3 BHK, Residential House is available for Rent in Sunder Nagar Malad West, Mumbai for 1.50 Lac(s)",
1BHK Builder Floor Apartment for Rent in Versova Andheri West,"37,000",600 12800,1,1,Unfurnished,,Ground,,,,Rent,Builder Floor Apartment,Mumbai,,F,"1 BHK, Builder Floor Apartment is available for Rent in Versova Andheri West, Mumbai for 37,000",
1BHK Multistorey Apartment for Rent in ,"45,000",None ,1,2,Semi-Furnished,,5,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 45,000",
1BHK Multistorey Apartment for Rent in Mulund West,"23,000",450 12800,1,1,Semi-Furnished,,1,Co-operative Society,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mulund West, Mumbai for 23,000",12612935_6_vasu2.jpg
1BHK Multistorey Apartment for Rent in Kanakia Sevens at Andheri East,"17,000",480 12800,1,1,Unfurnished,,7,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 17,000",Project-Photo-45-Kanakia-Sevens-Mumbai-5021346_600_800.jpg
1BHK Multistorey Apartment for Rent in Nav Pooja Apartment at Bandra West,"55,000",650 12800,1,1,Furnished,1,Lower Basement,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 55,000",
2BHK Multistorey Apartment for Rent in Om Shivam at Irla,"75,000",1050 12800,2,2,Furnished,3,2,,West,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Irla, Mumbai for 75,000",67361019_14_edroom1.1.jpeg
1BHK Multistorey Apartment for Rent in Malad East,"16,500",550 12800,1,1,Semi-Furnished,,3,Freehold,North,Garden/Park,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Malad East, Mumbai for 16,500",
2BHK Multistorey Apartment for Rent in West Bay at Bandra West,2 Lac,1600 12800,2,2,Furnished,2,7,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 2.0 Lac(s)",
1BHK Multistorey Apartment for Rent in ,"23,000",500 12800,1,1,Furnished,,3,,East,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 23,000",64774933_3_PropertyImage54-11681979822491.jpg
3BHK Multistorey Apartment for Rent in Mira Road East,"37,000",None ,3,2,Unfurnished,3,30,,,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Mira Road East, Mumbai for 37,000",9504_IMG20220220143021.jpg
1BHK Multistorey Apartment for Rent in ,"6,000",200 12800,1,1,Furnished,,6,,,Garden/Park,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 6,000",68316341_1_PropertyImage118-65238089685282.jpg
1BHK Multistorey Apartment for Rent in Sunteck Maxx World at Naigaon East,"9,000",547 12800,1,2,Unfurnished,3,10,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Naigaon East, Mumbai for 9,000",67705165_4_hatsAppImage20230402at13.13.571.jpeg
 Studio Apartment for Rent in Santacruz West,"26,500",340 12800,,1,Unfurnished,1,1,,South,,Rent,Studio Apartment,Mumbai,,F,"  Studio Apartment is available for Rent in Santacruz West, Mumbai for 26,500",66668211_1_IMG-20230327-WA0002.jpg
3BHK Multistorey Apartment for Rent in Prabhadevi,1.5 Lac,1500 12800,3,3,Semi-Furnished,,4,,,Garden/Park,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Prabhadevi, Mumbai for 1.50 Lac(s)",67636139_4_1687411541762-55084.jpg
1BHK Multistorey Apartment for Rent in Lodha Unica at Jogeshwari West,"22,000",750 12800,1,1,Furnished,1,5,,West,"Garden/Park, Pool",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Jogeshwari West, Mumbai for 22,000",67823207_2_PropertyImage664-7104722130971.jpg
1BHK Residential House for Rent in Gokul Township,"10,000",550 12800,1,1,Furnished,,,Co-operative Society,North - East,,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Gokul Township, Mumbai for 10,000",
3BHK Multistorey Apartment for Rent in Runwal Orchard Residency at Ghatkopar West,"60,000",1250 12800,3,2,Semi-Furnished,2,11,,,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Ghatkopar West, Mumbai for 60,000",Project-Photo-11-Runwal-Orchard-Residency-Mumbai-5018811_468_429.jpg
2BHK Multistorey Apartment for Rent in Jalvayu Vihar at Powai,"55,000",800 12800,2,2,Semi-Furnished,,4,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 55,000",Project-Photo-1-Jalvayu-Vihar-Mumbai-5037825_972_1296.JPEG
2BHK Multistorey Apartment for Rent in Andheri West,"75,000",1000 12800,2,2,Furnished,,16,Freehold,West,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 75,000",
1BHK Multistorey Apartment for Rent in ,"6,500",350 12800,1,1,Semi-Furnished,,10,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 6,500",
1BHK Multistorey Apartment for Rent in Bandra Mariam CHS at Bandra West,"60,000",600 12800,1,1,Semi-Furnished,,1,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 60,000",Project-Photo-7-Bandra-Mariam-CHS-Mumbai-5045148_1632_1224.JPEG
1BHK Multistorey Apartment for Rent in Raheja estate Bhoomi green borivli east at Borivali East,"30,000",605 12800,1,2,Unfurnished,,1,,North,"Garden/Park, Pool",Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Borivali East, Mumbai for 30,000",28110343_5_PropertyImage869-5635784289503.jpg
2BHK Multistorey Apartment for Rent in Blue Oasis at Mahavir Nagar Kandivali West,"39,000",950 12800,2,2,Semi-Furnished,,1,,,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Mahavir Nagar Kandivali West, Mumbai for 39,000",37799321_18_all2.jpg
 Studio Apartment for Rent in Kalachowki Abhyudaya Nagar,"21,000",None ,,1,Semi-Furnished,,3,,,,Rent,Studio Apartment,Mumbai,,F,"  Studio Apartment is available for Rent in Kalachowki Abhyudaya Nagar, Mumbai for 21,000",
1BHK Multistorey Apartment for Rent in Dahisar East,"25,000",None ,1,2,Semi-Furnished,,8,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Dahisar East, Mumbai for 25,000",
1BHK Multistorey Apartment for Rent in Tardeo,"30,000",300 12800,1,1,Furnished,1,10,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Tardeo, Mumbai for 30,000",
1BHK Multistorey Apartment for Rent in Hema Park at Bhandup East,"22,000",500 12800,1,1,Semi-Furnished,,6,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Bhandup East, Mumbai for 22,000",1156_IMG20230604WA0000.jpg
2BHK Builder Floor Apartment for Rent in Anurag Building at Naya Nagar Mira Road East,"20,000",800 12800,2,1,Semi-Furnished,,4,,North,Main Road,Rent,Builder Floor Apartment,Mumbai,,F,"2 BHK, Builder Floor Apartment is available for Rent in Naya Nagar Mira Road East, Mumbai for 20,000",15335285_4_allotherangle.jpeg
1BHK Residential House for Rent in Bandra West,"25,000",250 12800,1,1,Semi-Furnished,,Ground,,,,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Bandra West, Mumbai for 25,000",
2BHK Multistorey Apartment for Rent in Bandra West,1 Lac,900 12800,2,2,Semi-Furnished,,4,,East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Bandra West, Mumbai for 1.0 Lac(s)",68076805_2_IMG-20230511-WA0012.jpg
2BHK Multistorey Apartment for Rent in ,"13,000",650 12800,2,2,Unfurnished,,10,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 13,000",
2BHK Residential House for Rent in Vile Parle East,"21,000",363 12800,2,1,Semi-Furnished,,,Power Of Attorney,East,,Rent,Residential House,Mumbai,,F,"2 BHK, Residential House is available for Rent in Vile Parle East, Mumbai for 21,000",
3BHK Multistorey Apartment for Rent in Sunview Building at Powai,"75,000",800 12800,3,2,Unfurnished,1,17,,East,Main Road,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 75,000",67765595_2_PropertyImage196-01845793229734.jpg
1BHK Multistorey Apartment for Rent in Raj Mandir Complex at Mira Road Area,"12,500",660 12800,1,2,Semi-Furnished,3,7,Freehold,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mira Road Area, Mumbai for 12,500",13223489_2_edroom1.jpg
2BHK Multistorey Apartment for Rent in ,"16,000",None ,2,2,Furnished,,4,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 16,000",
2BHK Multistorey Apartment for Rent in Powai,"35,000",None ,2,2,Furnished,,1,,North - East,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 35,000",
2BHK Residential House for Rent in Kanakia Country Park at Borivali East,"33,000",850 12800,2,2,Unfurnished,,7,,,,Rent,Residential House,Mumbai,,F,"2 BHK, Residential House is available for Rent in Borivali East, Mumbai for 33,000",
2BHK Multistorey Apartment for Rent in Sheetal Complex at Mira Bhayandar,"18,000",950 12800,2,2,Semi-Furnished,3,5,,East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Mira Bhayandar, Mumbai for 18,000",45821911_6_7AB6558E6B44FE190C4A39635667CB6.jpeg
2BHK Multistorey Apartment for Rent in Oberoi Woods at Goregaon East,1.1 Lac,1250 12800,2,2,Unfurnished,1,11,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Goregaon East, Mumbai for 1.12 Lac(s)",67639835_4_PropertyImage734-6431694570749.jpg
1BHK Residential House for Rent in Kurla East,"30,000",630 12800,1,2,Unfurnished,1,,,North - West,Garden/Park,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Kurla East, Mumbai for 30,000",
1BHK Residential House for Rent in Gangadhar Apartment at Vikhroli East,"10,000",225 12800,1,1,Semi-Furnished,1,,,East,,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Vikhroli East, Mumbai for 10,000",
2BHK Multistorey Apartment for Rent in Godrej Prime at Chembur,"61,000",900 12800,2,2,Unfurnished,1,8,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Chembur, Mumbai for 61,000",2019/06/11/Project-Photo-64-Godrej-Prime-Mumbai-5082739_345_1366.jpg
3BHK Multistorey Apartment for Rent in ,1.7 Lac,850 12800,3,2,Unfurnished,,2,,,Main Road,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in , Mumbai for 1.65 Lac(s)",67639695_8_2.jpg
2BHK Multistorey Apartment for Rent in Mahindra Vivante at Andheri East,"60,000",1250 12800,2,2,Semi-Furnished,3,11,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 60,000",45808757_1_4e196c2d-4da3-486e-8d8a-44f037b32a0c.JPG
2BHK Builder Floor Apartment for Rent in Mulund East,"34,000",800 12800,2,2,Unfurnished,,3,,,,Rent,Builder Floor Apartment,Mumbai,,F,"2 BHK, Builder Floor Apartment is available for Rent in Mulund East, Mumbai for 34,000",
1BHK Residential House for Rent in Sion East at Sion East,"7,000",250 12800,1,1,Furnished,1,2,,South - East,Main Road,Rent,Residential House,Mumbai,,F,"1 BHK, Residential House is available for Rent in Sion East, Mumbai for 7,000",67707647_1_MG20230619191711.jpg
1BHK Multistorey Apartment for Rent in ,"22,000",445 12800,1,1,Unfurnished,1,1,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 22,000",
2BHK Multistorey Apartment for Rent in Borivali West,"40,000",670 12800,2,2,Unfurnished,,5,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Borivali West, Mumbai for 40,000",
3BHK Multistorey Apartment for Rent in Worli,1.8 Lac,1600 12800,3,3,Semi-Furnished,,6,Freehold,East,"Garden/Park, Main Road",Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Worli, Mumbai for 1.75 Lac(s)",
1BHK Builder Floor Apartment for Rent in Andheri West,"35,000",600 12800,1,1,Semi-Furnished,,4,,,,Rent,Builder Floor Apartment,Mumbai,,F,"1 BHK, Builder Floor Apartment is available for Rent in Andheri West, Mumbai for 35,000",
1BHK Builder Floor Apartment for Rent in ,"65,000",640 12800,1,2,Furnished,,3,,,,Rent,Builder Floor Apartment,Mumbai,,F,"1 BHK, Builder Floor Apartment is available for Rent in , Mumbai for 65,000",
1BHK Multistorey Apartment for Rent in Charni Road,"40,000",365 12800,1,1,Furnished,,6,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Charni Road, Mumbai for 40,000",50124204_19_1662099090854-0280.jpg
4BHK Residential House for Rent in Hill View Park at Kandivali East,"55,000",1800 12800,4,4,Semi-Furnished,,,,,,Rent,Residential House,Mumbai,,F,"4 BHK, Residential House is available for Rent in Kandivali East, Mumbai for 55,000",Project-Photo-6-Hill-View-Park-Mumbai-5080308_960_1280.JPEG
2BHK Multistorey Apartment for Rent in Kalpavruksh Heights at Kandivali West,"60,000",750 12800,2,2,Furnished,2,3,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Kandivali West, Mumbai for 60,000",63553495_1_IMG-20220928-WA0035.jpg
1BHK Multistorey Apartment for Rent in Ghatla,"25,000",980 12800,1,1,Furnished,,2,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Ghatla, Mumbai for 25,000",45267239_1_PropertyImage611-9536334677297.jpg
2BHK Multistorey Apartment for Rent in Goregaon East,"30,000",760 12800,2,2,Furnished,2,3,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Goregaon East, Mumbai for 30,000",66661375_12_PropertyImage220-93380451506195.jpg
2BHK Multistorey Apartment for Rent in Virar West,"10,000",1100 12800,2,2,Unfurnished,1,,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Virar West, Mumbai for 10,000",
2BHK Multistorey Apartment for Rent in Sher e Punjab at Andheri East,"46,000",770 12800,2,2,Unfurnished,,Ground,,East,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Andheri East, Mumbai for 46,000",2020/08/07/Project-Photo-3-Sher-e-Punjab-Mumbai-5001312_750_1000.jpg
2BHK Multistorey Apartment for Rent in Sangeet Samrat Naushad Ali Road,1.5 Lac,900 12800,2,2,Furnished,,5,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Sangeet Samrat Naushad Ali Road, Mumbai for 1.50 Lac(s)",
3BHK Multistorey Apartment for Rent in ,"60,000",None ,3,4,Furnished,,3,,,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in , Mumbai for 60,000",
2BHK Multistorey Apartment for Rent in ,"35,000",None ,2,2,Unfurnished,1,3,,North - East,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 35,000",
2BHK Multistorey Apartment for Rent in ,"30,000",900 12800,2,2,Unfurnished,1,2,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 30,000",
1BHK Multistorey Apartment for Rent in ,"13,500",550 12800,1,1,Furnished,,5,,South -West,Main Road,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 13,500",50146560_1_f8081816808825801680d40e56533a2_14797_large.jpg
 Studio Apartment for Rent in Vile Parle East,"18,000",360 12800,,1,Unfurnished,,3,,,,Rent,Studio Apartment,Mumbai,,F,"  Studio Apartment is available for Rent in Vile Parle East, Mumbai for 18,000",
3BHK Multistorey Apartment for Rent in Khar West,"63,000",2200 12800,3,4,Furnished,,,,,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Khar West, Mumbai for 63,000",
2BHK Residential House for Rent in Dhobi Talao,"40,000",1000 12800,2,1,Furnished,,4,,,Main Road,Rent,Residential House,Mumbai,,F,"2 BHK, Residential House is available for Rent in Dhobi Talao, Mumbai for 40,000",1219_Screenshot20211115000352.jpg
3BHK Multistorey Apartment for Rent in Napean Sea Road,1.3 Lac,1850 12800,3,4,Furnished,,3,,South -West,"Garden/Park, Main Road",Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Napean Sea Road, Mumbai for 1.30 Lac(s)",11001895_6_arun044.JPG
1BHK Multistorey Apartment for Rent in Sanghvi Towers at Mira Road Area,"13,600",500 12800,1,2,Unfurnished,,6,,North - West,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in Mira Road Area, Mumbai for 13,600",37605279_2_PropertyImage1540276199692.jpg
3BHK Multistorey Apartment for Rent in Oberoi Springs at Veera Desai Industrial Estate,1.3 Lac,1300 12800,3,3,Semi-Furnished,1,18,,West,"Garden/Park, Pool, Main Road",Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Veera Desai Industrial Estate, Mumbai for 1.30 Lac(s)",65534773_4_HOTO20230203171659.jpg
1BHK Multistorey Apartment for Rent in ,"25,000",None ,1,2,Semi-Furnished,,8,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 25,000",
4BHK Multistorey Apartment for Rent in Shapoorji Pallonji Vicinia at Powai,1.5 Lac,2495 12800,4,4,Semi-Furnished,,3,,,,Rent,Apartment,Mumbai,,F,"4 BHK, Multistorey Apartment is available for Rent in Powai, Mumbai for 1.50 Lac(s)",2022/12/15/Project-Photo-13-Shapoorji-Pallonji-Vicinia-Mumbai-5233547_864_1152.jpg
2BHK Multistorey Apartment for Rent in Bhayandar West,"15,000",800 12800,2,2,Unfurnished,1,4,,South,Main Road,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Bhayandar West, Mumbai for 15,000",
2BHK Multistorey Apartment for Rent in ,"30,000",1200 12800,2,2,Unfurnished,4,4,,North,Garden/Park,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 30,000",1cc6234-ac9e-4bb4-8af0-7f5a58e27f98_61763621.jpg
1BHK Multistorey Apartment for Rent in ,"14,000",250 12800,1,1,Semi-Furnished,,5,,,,Rent,Apartment,Mumbai,,F,"1 BHK, Multistorey Apartment is available for Rent in , Mumbai for 14,000",
2BHK Multistorey Apartment for Rent in Goregaon West,"35,000",1030 12800,2,2,Unfurnished,,,Freehold,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in Goregaon West, Mumbai for 35,000",
2BHK Multistorey Apartment for Rent in ,"32,000",750 12800,2,2,Semi-Furnished,,1,,,,Rent,Apartment,Mumbai,,F,"2 BHK, Multistorey Apartment is available for Rent in , Mumbai for 32,000",67463833_12_PropertyImage413-4507104413202.jpg
4BHK Multistorey Apartment for Rent in Vile Parle West,1.5 Lac,2880 12800,4,4,Semi-Furnished,,2,,East,Main Road,Rent,Apartment,Mumbai,,F,"4 BHK, Multistorey Apartment is available for Rent in Vile Parle West, Mumbai for 1.50 Lac(s)",65840601_1_PropertyImage1680168999042.jpg
3BHK Multistorey Apartment for Rent in Oberoi Springs at Andheri West,1.1 Lac,1377 12800,3,3,Semi-Furnished,1,25,Freehold,South -West,,Rent,Apartment,Mumbai,,F,"3 BHK, Multistorey Apartment is available for Rent in Andheri West, Mumbai for 1.10 Lac(s)",Project-Photo-18-Oberoi-Springs-Mumbai-5020008_1296_972.JPEG
